2019-09-25 13:37:35,569 - [logs/myutils.log:16]=> logs/myutils.log
2019-09-25 14:07:17,730 - [logs/myutils.log:16]=> logs/myutils.log
2019-09-25 14:09:30,031 - [logs/myutils.log:16]=> logs/myutils.log
2019-09-25 14:13:40,224 - [logs/myutils.log:16]=> logs/myutils.log
2019-09-25 14:18:02,354 - [logs/myutils.log:16]=> logs/myutils.log
2019-09-25 14:19:03,352 - [logs/myutils.log:16]=> logs/myutils.log
2019-09-25 14:20:06,499 - [logs/myutils.log:16]=> logs/myutils.log
2019-09-25 14:20:11,009 - [logs/myutils.log:30]=> LINE 30: score:{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.128}
2019-09-25 14:20:11,009 - [logs/myutils.log:30]=> LINE 30: score:{'neg': 0.0, 'neu': 0.712, 'pos': 0.288, 'compound': 0.8176}
2019-09-25 14:20:11,009 - [logs/myutils.log:30]=> LINE 30: score:{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2019-09-25 14:20:11,010 - [logs/myutils.log:30]=> LINE 30: score:{'neg': 0.0, 'neu': 0.669, 'pos': 0.331, 'compound': 0.836}
2019-09-25 14:20:11,010 - [logs/myutils.log:30]=> LINE 30: score:{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2019-09-25 14:20:11,010 - [logs/myutils.log:30]=> LINE 30: score:{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2019-09-25 14:20:11,010 - [logs/myutils.log:30]=> LINE 30: score:{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2019-09-25 14:20:11,011 - [logs/myutils.log:30]=> LINE 30: score:{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.5448}
2019-09-25 14:20:11,011 - [logs/myutils.log:30]=> LINE 30: score:{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2019-09-25 14:20:11,011 - [logs/myutils.log:30]=> LINE 30: score:{'neg': 0.06, 'neu': 0.698, 'pos': 0.241, 'compound': 0.7717}
2019-09-25 14:20:11,012 - [logs/myutils.log:30]=> LINE 30: score:{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2019-09-25 14:20:11,012 - [logs/myutils.log:30]=> LINE 30: score:{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.7906}
2019-09-25 14:20:11,012 - [logs/myutils.log:30]=> LINE 30: score:{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2019-09-25 14:20:11,013 - [logs/myutils.log:30]=> LINE 30: score:{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2019-09-25 14:20:11,013 - [logs/myutils.log:30]=> LINE 30: score:{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2019-09-25 14:20:11,013 - [logs/myutils.log:30]=> LINE 30: score:{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
